match_id,date,season,team,opponent,won_match,matches_before,wins_before,win_pct_before,home_win_pct_before,away_win_pct_before,prev_season_win_pct,prev_home_win_pct,prev_away_win_pct,prev_bat_first_win_pct,last_3_wins,won_toss,toss_winner_at_home,batting_first,is_home
598055,11/05/2013,2013,Mumbai Indians,Pune Warriors,1,12,8,0.666666667,1,0.333333333,0,0,0,0,2,0,0,0,0
598055,11/05/2013,2013,Pune Warriors,Mumbai Indians,0,13,2,0.153846154,0,0.153846154,0,0,0,0,0,1,0,1,0
598056,11/05/2013,2013,Kings XI Punjab,Sunrisers Hyderabad,0,12,5,0.416666667,0.6,0.285714286,0,0,0,0,1,1,1,0,1
598056,11/05/2013,2013,Sunrisers Hyderabad,Kings XI Punjab,1,11,6,0.545454545,0,0.545454545,0,0,0,0,2,0,1,1,0
598057,12/05/2013,2013,Kolkata Knight Riders,Royal Challengers Bangalore,1,13,5,0.384615385,0.666666667,0.142857143,0,0,0,0,2,1,0,0,0
598057,12/05/2013,2013,Royal Challengers Bangalore,Kolkata Knight Riders,0,11,7,0.636363636,1,0.333333333,0,0,0,0,2,0,0,1,0
598058,12/05/2013,2013,Chennai Super Kings,Rajasthan Royals,0,13,10,0.769230769,0.714285714,0.833333333,0,0,0,0,2,0,1,1,0
598058,12/05/2013,2013,Rajasthan Royals,Chennai Super Kings,1,13,9,0.692307692,1,0.333333333,0,0,0,0,3,1,1,0,1
598060,13/05/2013,2013,Mumbai Indians,Sunrisers Hyderabad,1,13,9,0.692307692,1,0.428571429,0,0,0,0,3,0,0,0,1
598060,13/05/2013,2013,Sunrisers Hyderabad,Mumbai Indians,0,12,7,0.583333333,0,0.583333333,0,0,0,0,2,1,0,1,0
598045,14/05/2013,2013,Kings XI Punjab,Royal Challengers Bangalore,1,13,5,0.384615385,0.5,0.285714286,0,0,0,0,1,1,0,0,0
598045,14/05/2013,2013,Royal Challengers Bangalore,Kings XI Punjab,0,12,7,0.583333333,1,0.285714286,0,0,0,0,1,0,0,1,1
598062,14/05/2013,2013,Chennai Super Kings,Delhi Daredevils,1,14,10,0.714285714,0.714285714,0.714285714,0,0,0,0,1,1,1,1,1
598062,14/05/2013,2013,Delhi Daredevils,Chennai Super Kings,0,12,3,0.25,0.375,0,0,0,0,0,0,0,1,0,0
598061,15/05/2013,2013,Kolkata Knight Riders,Pune Warriors,0,14,6,0.428571429,0.666666667,0.25,0,0,0,0,2,1,0,0,0
598061,15/05/2013,2013,Pune Warriors,Kolkata Knight Riders,1,14,2,0.142857143,0,0.142857143,0,0,0,0,0,0,0,1,0
598063,15/05/2013,2013,Mumbai Indians,Rajasthan Royals,1,14,10,0.714285714,1,0.428571429,0,0,0,0,3,0,0,1,1
598063,15/05/2013,2013,Rajasthan Royals,Mumbai Indians,0,14,10,0.714285714,1,0.333333333,0,0,0,0,3,1,0,0,0
598028,16/05/2013,2013,Delhi Daredevils,Kings XI Punjab,0,13,3,0.230769231,0.375,0,0,0,0,0,0,1,0,0,0
598028,16/05/2013,2013,Kings XI Punjab,Delhi Daredevils,1,14,6,0.428571429,0.5,0.375,0,0,0,0,1,0,0,1,1
598065,17/05/2013,2013,Rajasthan Royals,Sunrisers Hyderabad,0,15,10,0.666666667,1,0.285714286,0,0,0,0,2,0,0,0,0
598065,17/05/2013,2013,Sunrisers Hyderabad,Rajasthan Royals,1,13,7,0.538461538,0,0.538461538,0,0,0,0,1,1,0,1,0
598066,18/05/2013,2013,Kings XI Punjab,Mumbai Indians,1,15,7,0.466666667,0.571428571,0.375,0,0,0,0,2,0,0,1,1
598066,18/05/2013,2013,Mumbai Indians,Kings XI Punjab,0,15,11,0.733333333,1,0.428571429,0,0,0,0,3,1,0,0,0
598068,18/05/2013,2013,Chennai Super Kings,Royal Challengers Bangalore,0,15,11,0.733333333,0.75,0.714285714,0,0,0,0,2,1,0,0,0
598068,18/05/2013,2013,Royal Challengers Bangalore,Chennai Super Kings,1,13,7,0.538461538,0.833333333,0.285714286,0,0,0,0,1,0,0,1,1
598067,19/05/2013,2013,Delhi Daredevils,Pune Warriors,0,14,3,0.214285714,0.375,0,0,0,0,0,0,0,0,0,0
598067,19/05/2013,2013,Pune Warriors,Delhi Daredevils,1,15,3,0.2,0,0.2,0,0,0,0,1,1,0,1,0
598069,19/05/2013,2013,Kolkata Knight Riders,Sunrisers Hyderabad,0,15,6,0.4,0.666666667,0.222222222,0,0,0,0,2,1,0,1,0
598069,19/05/2013,2013,Sunrisers Hyderabad,Kolkata Knight Riders,1,14,8,0.571428571,0,0.571428571,0,0,0,0,2,0,0,0,0
598070,21/05/2013,2013,Chennai Super Kings,Mumbai Indians,1,16,11,0.6875,0.75,0.625,0,0,0,0,1,1,0,1,0
598070,21/05/2013,2013,Mumbai Indians,Chennai Super Kings,0,16,11,0.6875,1,0.375,0,0,0,0,2,0,0,0,0
598071,22/05/2013,2013,Rajasthan Royals,Sunrisers Hyderabad,1,16,10,0.625,1,0.25,0,0,0,0,1,0,0,0,0
598071,22/05/2013,2013,Sunrisers Hyderabad,Rajasthan Royals,0,15,9,0.6,0,0.6,0,0,0,0,2,1,0,1,0
598072,24/05/2013,2013,Mumbai Indians,Rajasthan Royals,1,17,11,0.647058824,1,0.333333333,0,0,0,0,1,0,0,0,0
598072,24/05/2013,2013,Rajasthan Royals,Mumbai Indians,0,17,11,0.647058824,1,0.333333333,0,0,0,0,1,1,0,1,0
598073,26/05/2013,2013,Chennai Super Kings,Mumbai Indians,0,17,12,0.705882353,0.75,0.666666667,0,0,0,0,2,0,0,0,0
598073,26/05/2013,2013,Mumbai Indians,Chennai Super Kings,1,18,12,0.666666667,1,0.4,0,0,0,0,1,1,0,1,0
829705,8/04/2015,2015,Kolkata Knight Riders,Mumbai Indians,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1
829705,8/04/2015,2015,Mumbai Indians,Kolkata Knight Riders,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
829707,9/04/2015,2015,Chennai Super Kings,Delhi Daredevils,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
829707,9/04/2015,2015,Delhi Daredevils,Chennai Super Kings,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
829709,10/04/2015,2015,Kings XI Punjab,Rajasthan Royals,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
829709,10/04/2015,2015,Rajasthan Royals,Kings XI Punjab,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
